model,regime,feature,importance
gradient_boosting,plan_time,log1p_max_subtree_cost,0.07713553338122166
gradient_boosting,plan_time,max_subtree_cost,0.0510138552817119
gradient_boosting,plan_time,plan_rows_max_node,0.018794793308737127
gradient_boosting,plan_time,plan_rows_log_range,0.017407395419658238
gradient_boosting,plan_time,plan_rows_std_to_mean,0.015487985573729416
gradient_boosting,plan_time,bitmap_index_scan_count,0.014755223398925092
gradient_boosting,plan_time,startup_to_total_ratio,0.014588565004437701
gradient_boosting,plan_time,index_scan_count,0.01342434364806657
gradient_boosting,plan_time,num_joins,0.012745443211720792
gradient_boosting,plan_time,cost_per_estimated_row,0.012558914026861162
gradient_boosting,plan_time,planning_time_ms,0.0119373595845399
gradient_boosting,plan_time,total_nodes,0.00571881860769976
gradient_boosting,plan_time,num_sorts,0.005716466935386503
gradient_boosting,plan_time,bitmap_heap_scan_count,0.004791365045570044
gradient_boosting,plan_time,seq_scan_count,0.0041479374897804636
gradient_boosting,plan_time,log1p_total_nodes,0.00396601678663688
gradient_boosting,plan_time,est_rows_per_node,0.003319543109374846
gradient_boosting,plan_time,root_node_type__Aggregate,0.002832691052266642
gradient_boosting,plan_time,sort_count,0.002785592350135248
gradient_boosting,plan_time,plan_rows_min_nonzero_node,0.0021611107615101366
gradient_boosting,plan_time,num_scans,0.001990973616978186
gradient_boosting,plan_time,estimated_rows,0.0017460004795421522
gradient_boosting,plan_time,tree_depth,0.0015035276950164872
gradient_boosting,plan_time,aggregate_count,0.001419236312713133
gradient_boosting,plan_time,index_only_scan_count,0.0013195233673520112
gradient_boosting,plan_time,num_aggregates,0.0012388751596872428
gradient_boosting,plan_time,incremental_sort_count,0.0006954704613656044
gradient_boosting,plan_time,root_node_type__Sort,0.0005384002185837944
gradient_boosting,plan_time,nested_loop_count,0.00044852983873473095
gradient_boosting,plan_time,max_to_root_cost_ratio,0.0004407764378977795
gradient_boosting,plan_time,root_node_type__Limit,0.0003367321837381238
gradient_boosting,plan_time,log1p_estimated_rows,0.0002902388923448401
gradient_boosting,plan_time,gather_count,0.0002653258332414224
gradient_boosting,plan_time,enable_mergejoin,0.0002265187635566291
gradient_boosting,plan_time,merge_join_count,0.00020082603750861135
gradient_boosting,plan_time,materialize_count,0.00017198430765750228
gradient_boosting,plan_time,enable_hashjoin,0.00016622356690068418
gradient_boosting,plan_time,gather_merge_count,0.00014111224268013444
gradient_boosting,plan_time,enable_nestloop,9.215946488907011e-05
gradient_boosting,plan_time,hash_count,4.965595131042994e-05
gradient_boosting,plan_time,hash_join_count,3.732772583042494e-05
gradient_boosting,plan_time,windowagg_count,1.8746388445219065e-05
gradient_boosting,plan_time,limit_count,5.124993348575822e-06
gradient_boosting,plan_time,root_node_type__Nested Loop,4.760013505815706e-06
gradient_boosting,plan_time,root_node_type__Bitmap Heap Scan,0.0
gradient_boosting,plan_time,root_node_type__Hash Join,0.0
gradient_boosting,plan_time,root_node_type__Seq Scan,0.0
lasso,plan_time,log1p_estimated_total_cost,3.293954386837314
lasso,plan_time,total_nodes,1.640113076139222
lasso,plan_time,startup_to_total_ratio,1.5690043634688242
lasso,plan_time,estimated_total_cost,1.5468914223577879
lasso,plan_time,max_subtree_cost,1.5090296148654223
lasso,plan_time,log1p_max_subtree_cost,1.0776501357198072
lasso,plan_time,num_joins,1.0646821303946714
lasso,plan_time,num_scans,1.046004187977662
lasso,plan_time,index_scan_count,0.7601806503461748
lasso,plan_time,est_rows_per_node,0.7342596385486791
lasso,plan_time,estimated_rows,0.5515313299308326
lasso,plan_time,gather_merge_count,0.5180046734959743
lasso,plan_time,hash_join_count,0.4486275486596035
lasso,plan_time,plan_rows_log_range,0.37562891114860947
lasso,plan_time,log1p_total_nodes,0.36112289567444206
lasso,plan_time,gather_count,0.31718857033321046
lasso,plan_time,aggregate_count,0.3158640847021446
lasso,plan_time,materialize_count,0.311096183373021
lasso,plan_time,seq_scan_count,0.3098089363678977
lasso,plan_time,root_node_type__Hash Join,0.28556505885198785
lasso,plan_time,index_only_scan_count,0.24562948577237817
lasso,plan_time,cost_per_estimated_row,0.2110318843953458
lasso,plan_time,merge_join_count,0.20778781257898468
lasso,plan_time,root_node_type__Seq Scan,0.20427178809959234
lasso,plan_time,windowagg_count,0.15917105592829822
lasso,plan_time,plan_rows_min_nonzero_node,0.15424228206912285
lasso,plan_time,limit_count,0.14066007644524475
lasso,plan_time,tree_depth,0.1218984634944666
lasso,plan_time,incremental_sort_count,0.11449548099284441
lasso,plan_time,planning_time_ms,0.09883629759760881
lasso,plan_time,hash_count,0.09620802494529916
lasso,plan_time,root_node_type__Nested Loop,0.06805492336014682
lasso,plan_time,root_node_type__Limit,0.06746901262104736
lasso,plan_time,plan_rows_max_node,0.06698385908133352
lasso,plan_time,enable_hashjoin,0.05545693048411876
lasso,plan_time,sort_count,0.04886729467407589
lasso,plan_time,log1p_estimated_rows,0.048228226122738305
lasso,plan_time,plan_rows_std_to_mean,0.04026620815008937
lasso,plan_time,root_node_type__Aggregate,0.02938010819060516
lasso,plan_time,enable_nestloop,0.01183579517988036
lasso,plan_time,enable_mergejoin,0.001012001753199527
lasso,plan_time,num_aggregates,0.0
lasso,plan_time,num_sorts,0.0
lasso,plan_time,bitmap_index_scan_count,0.0
lasso,plan_time,bitmap_heap_scan_count,0.0
lasso,plan_time,nested_loop_count,0.0
lasso,plan_time,estimated_startup_cost,0.0
lasso,plan_time,log1p_estimated_startup_cost,0.0
lasso,plan_time,max_to_root_cost_ratio,0.0
lasso,plan_time,root_node_type__Bitmap Heap Scan,0.0
lasso,plan_time,root_node_type__Sort,0.0
lightgbm,plan_time,planning_time_ms,6855.0
lightgbm,plan_time,estimated_total_cost,1622.0
lightgbm,plan_time,cost_per_estimated_row,1149.0
lightgbm,plan_time,plan_rows_std_to_mean,1137.0
lightgbm,plan_time,startup_to_total_ratio,1040.0
lightgbm,plan_time,plan_rows_max_node,674.0
lightgbm,plan_time,plan_rows_log_range,544.0
lightgbm,plan_time,tree_depth,538.0
lightgbm,plan_time,enable_mergejoin,470.0
lightgbm,plan_time,total_nodes,465.0
lightgbm,plan_time,max_subtree_cost,417.0
lightgbm,plan_time,enable_nestloop,303.0
lightgbm,plan_time,estimated_rows,278.0
lightgbm,plan_time,enable_hashjoin,260.0
lightgbm,plan_time,estimated_startup_cost,243.0
lightgbm,plan_time,max_to_root_cost_ratio,209.0
lightgbm,plan_time,est_rows_per_node,171.0
lightgbm,plan_time,index_scan_count,163.0
lightgbm,plan_time,num_sorts,160.0
lightgbm,plan_time,num_scans,147.0
lightgbm,plan_time,seq_scan_count,144.0
lightgbm,plan_time,hash_join_count,124.0
lightgbm,plan_time,plan_rows_min_nonzero_node,119.0
lightgbm,plan_time,num_aggregates,104.0
lightgbm,plan_time,gather_merge_count,93.0
lightgbm,plan_time,nested_loop_count,87.0
lightgbm,plan_time,bitmap_index_scan_count,81.0
lightgbm,plan_time,root_node_type__Sort,48.0
lightgbm,plan_time,num_joins,42.0
lightgbm,plan_time,gather_count,41.0
lightgbm,plan_time,log1p_max_subtree_cost,40.0
lightgbm,plan_time,log1p_estimated_rows,37.0
lightgbm,plan_time,merge_join_count,34.0
lightgbm,plan_time,limit_count,25.0
lightgbm,plan_time,log1p_total_nodes,24.0
lightgbm,plan_time,sort_count,20.0
lightgbm,plan_time,root_node_type__Aggregate,20.0
lightgbm,plan_time,log1p_estimated_startup_cost,17.0
lightgbm,plan_time,aggregate_count,12.0
lightgbm,plan_time,index_only_scan_count,11.0
lightgbm,plan_time,materialize_count,9.0
lightgbm,plan_time,bitmap_heap_scan_count,8.0
lightgbm,plan_time,hash_count,7.0
lightgbm,plan_time,log1p_estimated_total_cost,5.0
lightgbm,plan_time,incremental_sort_count,1.0
lightgbm,plan_time,root_node_type__Limit,1.0
lightgbm,plan_time,root_node_type__Nested Loop,1.0
lightgbm,plan_time,windowagg_count,0.0
lightgbm,plan_time,root_node_type__Bitmap Heap Scan,0.0
lightgbm,plan_time,root_node_type__Hash Join,0.0
lightgbm,plan_time,root_node_type__Seq Scan,0.0
random_forest,plan_time,estimated_startup_cost,0.18250326719515908
random_forest,plan_time,log1p_estimated_startup_cost,0.17530897288314803
random_forest,plan_time,estimated_total_cost,0.1627505414788811
random_forest,plan_time,log1p_estimated_total_cost,0.1360810761157412
random_forest,plan_time,max_subtree_cost,0.0773686463836875
random_forest,plan_time,log1p_max_subtree_cost,0.07727021468875082
random_forest,plan_time,plan_rows_log_range,0.03265186812453297
random_forest,plan_time,bitmap_heap_scan_count,0.020203781850860122
random_forest,plan_time,planning_time_ms,0.017006258506612255
random_forest,plan_time,bitmap_index_scan_count,0.015379161342801168
random_forest,plan_time,cost_per_estimated_row,0.012942379839531962
random_forest,plan_time,plan_rows_max_node,0.01195003786310028
random_forest,plan_time,est_rows_per_node,0.00760750487650034
random_forest,plan_time,total_nodes,0.007161671407595549
random_forest,plan_time,log1p_total_nodes,0.007151289090674131
random_forest,plan_time,plan_rows_std_to_mean,0.006326361035153172
random_forest,plan_time,log1p_estimated_rows,0.004836709876728753
random_forest,plan_time,index_scan_count,0.004704020270361298
random_forest,plan_time,estimated_rows,0.004699078415405274
random_forest,plan_time,startup_to_total_ratio,0.00402929551705652
random_forest,plan_time,seq_scan_count,0.0035552558608300104
random_forest,plan_time,nested_loop_count,0.0029355894911411236
random_forest,plan_time,num_joins,0.002877388791967094
random_forest,plan_time,num_aggregates,0.0027739047804093055
random_forest,plan_time,aggregate_count,0.0026668432396581344
random_forest,plan_time,tree_depth,0.002664631159834486
