query_id,true_best_variant,picked_variant,true_best_ms,picked_ms,regret_ms,regret_ratio,hit,model,regime
q11_p3,no_mergejoin,no_mergejoin,562.144,562.144,0.0,0.0,1,ridge,plan_time
q12_p2,no_nestloop,no_mergejoin,1854.457,2164.549,310.09199999999987,0.16721444606156943,0,ridge,plan_time
q15_p1,default,no_mergejoin,2973.557,3814.434,840.8770000000004,0.28278489364757453,0,ridge,plan_time
q15_p4,no_hashjoin,default,3612.135,3928.715,316.5799999999999,0.08764345740123214,0,ridge,plan_time
q17_p2,no_hashjoin,no_hashjoin,730.087,730.087,0.0,0.0,1,ridge,plan_time
q17_p4,no_hashjoin,no_hashjoin,664.182,664.182,0.0,0.0,1,ridge,plan_time
q20_p0,no_hashjoin,no_mergejoin,3627.978,4085.213,457.2350000000001,0.12603025707432636,0,ridge,plan_time
q20_p1,no_mergejoin,no_nestloop,2129.206,278747.214,276618.008,129.91603818512627,0,ridge,plan_time
q20_p2,no_hashjoin,no_mergejoin,3476.229,3548.939,72.71000000000004,0.020916343543535332,0,ridge,plan_time
q21_p3,no_nestloop,no_mergejoin,11808.777,17104.211,5295.433999999999,0.4484320433860338,0,ridge,plan_time
ds_q02_topk_revenue,no_mergejoin,no_mergejoin,543.457,543.457,0.0,0.0,1,ridge,plan_time
ds_q06_web_vs_store,default,no_mergejoin,696.566,852.859,156.293,0.2243764409976945,0,ridge,plan_time
ds_q07_yearly_trend,no_mergejoin,no_nestloop,572.578,616.613,44.03500000000008,0.07690655246970723,0,ridge,plan_time
ds_q16_web_returns,no_mergejoin,no_mergejoin,35.959,35.959,0.0,0.0,1,ridge,plan_time
q02,no_mergejoin,no_hashjoin,3199.538,4302.342,1102.8039999999996,0.3446760125993189,0,ridge,plan_time
q07,no_nestloop,no_hashjoin,2402.029,3945.736,1543.7069999999999,0.6426679278226866,0,ridge,plan_time
q09,no_nestloop,no_mergejoin,9471.806,19454.599,9982.792999999998,1.053948212199447,0,ridge,plan_time
q17,no_hashjoin,no_hashjoin,939.65,939.65,0.0,0.0,1,ridge,plan_time
q18,default,no_hashjoin,13888.445,14970.42,1081.9750000000004,0.0779046898338871,0,ridge,plan_time
q20,no_hashjoin,no_mergejoin,4427.324,4679.932,252.60800000000017,0.05705658768140753,0,ridge,plan_time
q01_p2,no_hashjoin,default,9512.992,9565.353,52.36099999999897,0.0055041568415068465,0,ridge,plan_time
q03_p3,no_mergejoin,no_nestloop,1371.854,3581.978,2210.124,1.6110489891781485,0,ridge,plan_time
q04_p2,no_hashjoin,no_mergejoin,693.738,797.277,103.53899999999999,0.14924798699220743,0,ridge,plan_time
q05_p0,no_nestloop,no_mergejoin,2611.541,4610.027,1998.4859999999999,0.7652516272959144,0,ridge,plan_time
q05_p1,no_nestloop,no_mergejoin,2614.839,3473.214,858.375,0.32827068894107825,0,ridge,plan_time
q06_p3,no_mergejoin,no_mergejoin,2669.903,2669.903,0.0,0.0,1,ridge,plan_time
q07_p3,no_nestloop,no_hashjoin,7456.51,20439.496,12982.985999999999,1.7411612134899568,0,ridge,plan_time
q09_p3,no_nestloop,no_mergejoin,3600.447,5954.025,2353.5779999999995,0.6536905000962379,0,ridge,plan_time
q09_p4,default,default,8298.719,8298.719,0.0,0.0,1,ridge,plan_time
q11_p2,no_hashjoin,default,843.429,1218.799,375.37,0.4450522806306163,0,ridge,plan_time
q12_p1,no_nestloop,no_mergejoin,1816.0,2447.656,631.656,0.3478281938325991,0,ridge,plan_time
q14_p4,no_hashjoin,no_mergejoin,2474.995,2967.284,492.2890000000002,0.19890504829302702,0,ridge,plan_time
q15_p0,no_nestloop,no_mergejoin,2830.03,5665.229,2835.199,1.00182648240478,0,ridge,plan_time
q15_p3,default,no_mergejoin,4889.391,5676.261,786.8700000000008,0.16093415314913462,0,ridge,plan_time
q19_p1,no_mergejoin,no_hashjoin,371.417,454.037,82.62,0.22244539156796805,0,ridge,plan_time
q20_p3,no_hashjoin,no_mergejoin,10269.854,13299.016,3029.1620000000003,0.2949566761124356,0,ridge,plan_time
q21_p2,no_nestloop,no_nestloop,9402.375,9402.375,0.0,0.0,1,ridge,plan_time
ds_q01_filter_agg,no_mergejoin,no_nestloop,537.585,1482.016,944.431,1.7568031102058277,0,ridge,plan_time
ds_q12_catalog_topk,no_nestloop,no_nestloop,356.789,356.789,0.0,0.0,1,ridge,plan_time
ds_q14_state_revenue,default,no_mergejoin,495.792,802.114,306.32200000000006,0.6178437731952111,0,ridge,plan_time
ds_q20_demographic,no_mergejoin,no_mergejoin,726.447,726.447,0.0,0.0,1,ridge,plan_time
q08,no_hashjoin,no_nestloop,1382.048,2374.629,992.5809999999999,0.7181957500752505,0,ridge,plan_time
q01_p1,default,no_mergejoin,9892.378,10802.619,910.241,0.09201437712954363,0,ridge,plan_time
