model,regime,feature,importance
random_forest,plan_time,root_node_type__Aggregate,0.00814053915719509
random_forest,plan_time,hash_count,0.007434548293555359
random_forest,plan_time,gather_merge_count,0.0070894743482597215
random_forest,plan_time,sort_count,0.007041250140499584
random_forest,plan_time,root_node_type__Sort,0.00686651058668836
random_forest,plan_time,num_aggregates,0.006778991882865012
random_forest,plan_time,num_sorts,0.006194893705421894
random_forest,plan_time,aggregate_count,0.005372231489462811
random_forest,plan_time,materialize_count,0.005211707672152585
random_forest,plan_time,gather_count,0.005128181711176996
random_forest,plan_time,limit_count,0.0020761810249924906
random_forest,plan_time,root_node_type__Limit,0.0016728014664272475
random_forest,plan_time,index_only_scan_count,0.0014224033608093262
random_forest,plan_time,merge_join_count,0.0006435648606207564
random_forest,plan_time,incremental_sort_count,0.00029759784354815876
random_forest,plan_time,root_node_type__Nested Loop,0.00013996108622842728
ridge,plan_time,index_scan_count,0.7448491366293946
ridge,plan_time,seq_scan_count,0.4128676694238587
ridge,plan_time,gather_merge_count,0.3798110024788684
ridge,plan_time,nested_loop_count,0.30650124799758927
ridge,plan_time,gather_count,0.28611109381730493
ridge,plan_time,num_scans,0.2848632844146743
ridge,plan_time,hash_join_count,0.2815815091004062
ridge,plan_time,hash_count,0.2815815091003967
ridge,plan_time,sort_count,0.2812190014347725
ridge,plan_time,index_only_scan_count,0.27186783088083555
ridge,plan_time,estimated_rows,0.25472252302895704
ridge,plan_time,num_sorts,0.24407324853594425
ridge,plan_time,merge_join_count,0.14388861793087357
ridge,plan_time,bitmap_heap_scan_count,0.12933465753670914
ridge,plan_time,bitmap_index_scan_count,0.12933465753670872
ridge,plan_time,estimated_total_cost,0.1056582034047499
ridge,plan_time,total_nodes,0.10332408622694912
ridge,plan_time,max_subtree_cost,0.08697267197794327
ridge,plan_time,planning_time_ms,0.07557484124540771
ridge,plan_time,incremental_sort_count,0.07510586333743237
ridge,plan_time,num_aggregates,0.06933191972626175
ridge,plan_time,aggregate_count,0.06933191972626156
ridge,plan_time,num_joins,0.05381801242987259
ridge,plan_time,root_node_type__Aggregate,0.0523363322450458
ridge,plan_time,root_node_type__Sort,0.04821620667445694
ridge,plan_time,materialize_count,0.04603950333618928
ridge,plan_time,tree_depth,0.03642357447443483
ridge,plan_time,limit_count,0.013346023774469312
ridge,plan_time,root_node_type__Limit,0.013346023774460652
ridge,plan_time,root_node_type__Nested Loop,0.001444605771779573
ridge,plan_time,estimated_startup_cost,0.0004214777343076078
xgboost,plan_time,max_subtree_cost,0.33160293102264404
xgboost,plan_time,estimated_startup_cost,0.0971628949046135
xgboost,plan_time,bitmap_heap_scan_count,0.07415153831243515
xgboost,plan_time,estimated_total_cost,0.07353522628545761
xgboost,plan_time,bitmap_index_scan_count,0.07085573673248291
